query no	Document_name	Rank
1	Culture/0000.txt	5
1	Culture/2525.txt	3
1	Culture/2822.txt	2
1	Culture/4665.txt	2
1	Culture/0561.txt	1
1	Culture/0753.txt	1
1	Culture/1270.txt 	1
1	Culture/1837.txt	1
1	Culture/3553.txt	1
1	Culture/3568.txt	1
1	Culture/3602.txt	1
1	Culture/4900.txt	1
1	Culture/5045.txt	1
1	Culture/5319.txt	1
1	Culture/5451.txt	1
1	Culture/5717.txt	1
2	Culture/0849.txt	5
2	Culture/1730.txt	5
2	Culture/1732.txt	5
2	Culture/1803.txt	5
2	Culture/3875.txt	5
2	Culture/3351.txt	4
2	Culture/4829.txt	4
2	Culture/5270.txt	4
2	Culture/5310.txt	4
2	Culture/2534.txt	3
3	Culture/0075.txt	5
3	Culture/0453.txt	4
3	Culture/1831.txt	4
3	Culture/6398.txt	4
3	Culture/5598.txt	3
3	Culture/3358.txt	2
3	Culture/6298.txt	2
3	Culture/4845.txt	1
4	Culture/1060.txt	5
4	Culture/5577.txt	5
4	Culture/0522.txt	3
4	Culture/1337.txt	1
5	Culture/1280.txt	5
5	Culture/1110.txt	4
5	Culture/1447.txt	4
5	Culture/3722.txt	4
5	Culture/3811.txt	4
5	Culture/5091.txt	4
5	Culture/6346.txt	4
5	Culture/0483.txt	3
5	Culture/0604.txt	3
5	Culture/4465.txt	3
5	Culture/5874.txt	3
5	Culture/3282.txt	2
5	Culture/3704.txt	2
5	Culture/1558.txt	1
6	Finance/0151.txt	5
6	Finance/0850.txt	5
6	Finance/2194.txt	4
6	Finance/3832.txt	4
6	Finance/2415.txt	3
6	Finance/6067.txt	3
6	Finance/4516.txt	2
6	Finance/5827.txt	2
6	Finance/0957.txt	1
6	Finance/2815.txt	1
6	Finance/3115.txt	1
6	Finance/3556.txt	1
7	Finance/1148.txt	5
7	Finance/0580.txt	4
7	Finance/0248.txt	3
7	Finance/0613.txt	2
7	Finance/2943.txt	1
7	Finance/5596.txt	1
8	Finance/1129.txt 	5
8	Finance/2153.txt	5
8	Finance/2188.txt	5
8	Finance/0541.txt	4
8	Finance/0607.txt	4
8	Finance/2092.txt	3
8	Finance/1494.txt	2
8	Finance/2182.txt	2
8	Finance/2964.txt	2
8	Finance/1528.txt	1
8	Finance/1962.txt	1
8	Finance/2085.txt	1
8	Finance/3141.txt	1
8	Finance/3841.txt	1
8	Finance/4059.txt	1
8	Finance/5177.txt	1
8	Finance/5659.txt	1
9	Finance/4036.txt	5
9	Finance/0101.txt	2
9	Finance/2871.txt	2
9	Finance/4584.txt	2
9	Finance/4711.txt	2
9	Finance/0380.txt	1
9	Finance/0592.txt 	1
9	Finance/2216.txt	1
9	Finance/2671.txt	1
9	Finance/6251.txt	1
9	Finance/6295.txt 	1
10	Finance/3971.txt	5
10	Finance/6451.txt	5
10	Finance/3803.txt	4
10	Finance/0543.txt	3
10	Finance/2274.txt	3
10	Finance/0649.txt	2
10	Finance/1276.txt	2
10	Finance/1596.txt	2
10	Finance/2344.txt	2
10	Finance/2775.txt	1
10	Finance/3259.txt	1
10	Finance/3400.txt	1
11	Medical/0092.txt	5
11	Medical/1742.txt	4
11	Medical/0363.txt	1
11	Medical/0756.txt	1
11	Medical/2497.txt	1
11	Medical/2734.txt	1
11	Medical/3256.txt	1
12	Medical/0301.txt	5
12	Medical/1720.txt	5
12	Medical/5798.txt	5
12	Medical/0108.txt	3
12	Medical/3060.txt	2
12	Medical/1407.txt	1
12	Medical/1450.txt	1
12	Medical/5117.txt	1
13	Medical/2267.txt	5
13	Medical/2830.txt	5
13	Medical/3415.txt	1
14	Medical/0168.txt	5
14	Medical/2908.txt	5
14	Medical/3441.txt	5
14	Medical/3711.txt	5
14	Medical/5157.txt	5
14	Medical/5802.txt	5
14	Medical/0714.txt	4
14	Medical/1827.txt	4
14	Medical/1240.txt	3
14	Medical/6012.txt	3
14	Medical/6389.txt	3
14	Medical/1601.txt	2
14	Medical/1997.txt	2
14	Medical/2105.txt 	2
14	Medical/4559.txt	2
14	Medical/5357.txt	2
14	Medical/5931.txt	2
14	Medical/1242.txt	1
14	Medical/1467.txt 	1
14	Medical/4602.txt	1
15	Medical/0967.txt	5
15	Medical/3048.txt	5
15	Medical/3487.txt	5
15	Medical/5868.txt	5
15	Medical/0424.txt	4
15	Medical/3260.txt	4
15	Medical/0545.txt	3
15	Medical/0849.txt	3
15	Medical/6156.txt	3
15	Medical/0811.txt	2
15	Medical/2501.txt	2
15	Medical/6375.txt	2
15	Medical/1061.txt	1
15	Medical/1875.txt	1
15	Medical/2513.txt	1
15	Medical/2569.txt	1
15	Medical/2621.txt	1
15	Medical/3340.txt	1
15	Medical/4096.txt	1
15	Medical/4110.txt	1
15	Medical/4218.txt	1
15	Medical/5334.txt	1
15	Medical/5744.txt	1
16	Politics/0032.txt	5
16	Politics/0189.txt	5
16	Politics/0661.txt	5
16	Politics/1398.txt	5
16	Politics/1686.txt	5
16	Politics/2311.txt	5
16	Politics/4865.txt	5
16	Politics/5034.txt	5
16	Politics/5863.txt	5
16	Politics/0983.txt	4
16	Politics/1083.txt	3
16	Politics/4269.txt	3
16	Politics/4908.txt	3
16	Politics/2984.txt	2
16	Politics/3642.txt	2
16	Politics/5879.txt	2
16	Politics/1944.txt	1
16	Politics/2000.txt	1
16	Politics/2205.txt	1
16	Politics/5955.txt	1
17	Politics/5775.txt	5
17	Politics/3338.txt	4
17	Politics/1053.txt	2
17	Politics/1705.txt	1
17	Politics/4285.txt	1
18	Politics/2906.txt	5
18	Politics/3205.txt	4
18	Politics/6272.txt	3
18	Politics/0251.txt	2
18	Politics/1591.txt	1
18	Politics/1865.txt	1
18	Politics/2174.txt	1
18	Politics/2762.txt	1
19	Politics/0257.txt	5
19	Politics/0306.txt	5
19	Politics/0886.txt 	5
19	Politics/1611.txt	5
19	Politics/1899.txt	5
19	Politics/2185.txt	5
19	Politics/2567.txt	5
19	Politics/3076.txt	5
19	Politics/3860.txt	5
19	Politics/4277.txt	5
19	Politics/5147.txt	5
19	Politics/5625.txt	5
19	Politics/0330.txt	4
19	Politics/0694.txt	4
19	Politics/3216.txt	4
19	Politics/3809.txt	4
19	Politics/5583.txt	4
19	Politics/1600.txt	3
19	Politics/5460.txt	3
19	Politics/5524.txt	3
19	Politics/2349.txt	2
19	Politics/0530.txt	1
19	Politics/1677.txt	1
19	Politics/4658.txt	1
19	Politics/5912.txt	1
19	Politics/6390.txt	1
20	Politics/5881.txt	5
20	Politics/5782.txt	4
20	Politics/5208.txt	3
20	Politics/5525.txt	3
20	Politics/2513.txt	2
20	Politics/3477.txt	2
20	Politics/4695.txt	2
